,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,114 Sturdee Crescent ,-35.4085425,149.0996290,house,4,2,2,"$822,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341711970/114+Sturdee+Crescent%2C+Monash+ACT/
1,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,124 Sturdee Crescent ,-35.4090001,149.1007861,house,5,3,4,"$880,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341718970/124+Sturdee+Crescent%2C+Monash+ACT/
2,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,4 Madsen Place ,-35.4137098,149.1005560,house,4,3,2,"$880,000",20 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341503870/4+Madsen+Place%2C+Monash+ACT/
3,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,8 Forwood Street ,-35.4121548,149.0888652,house,3,1,2,"$721,000",5 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341728570/8+Forwood+Street%2C+Monash+ACT/
4,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,3 Newbigin Place ,-35.4150120,149.0914938,house,4,2,4,"$785,000",21 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341877360/3+Newbigin+Place%2C+Monash+ACT/
5,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,95 Clive-Steele Avenue ,-35.4153963,149.0922085,house,3,1,1,"$680,000",21 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341757360/95+Clive-Steele+Avenue%2C+Monash+ACT/
6,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,3 Wilton Place ,-35.4201508,149.0997872,house,3,2,2,"$735,000",18 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341152160/3+Wilton+Place%2C+Monash+ACT/
7,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,8 Axon Street ,-35.4078571,149.1011969,house,4,2,3,"$840,000",5 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341393860/8+Axon+Street%2C+Monash+ACT/
8,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,12 Stobie Place ,-35.4092334,149.0888999,house,3,1,4,"$635,000",23 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341589560/12+Stobie+Place%2C+Monash+ACT/
9,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,26 Kneeshaw Street ,-35.4195582,149.1001682,house,3,2,1,"$625,000",14 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341835450/26+Kneeshaw+Street%2C+Monash+ACT/
10,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,197 Clive Steele Avenue ,-35.4202998,149.0865095,house,3,1,1,"$625,000",11 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341035350/197+Clive+Steele+Avenue%2C+Monash+ACT/
11,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,18/156 Clive Steele Avenue ,-35.4175511,149.0851964,townhouse,3,2,2,"$550,000",10 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341184350/18-156+Clive+Steele+Avenue%2C+Monash+ACT/
12,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,12 Pickering Street ,-35.4156869,149.0972816,house,3,2,2,"$730,000",5 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341500560/12+Pickering+Street%2C+Monash+ACT/
13,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,41 Ashcroft Crescent ,-35.4199598,149.0874038,house,4,2,1,"$729,000",20 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341056950/41+Ashcroft+Crescent%2C+Monash+ACT/
14,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,2 Ashcroft Crescent ,-35.4170190,149.0880437,house,5,3,2,"$935,000",9 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341421850/2+Ashcroft+Crescent%2C+Monash+ACT/
15,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,49/174 Clive Steele Avenue ,-35.4202661,149.0838016,townhouse,3,2,2,"$510,000",29 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341974650/49-174+Clive+Steele+Avenue%2C+Monash+ACT/
16,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,23 Hawken Street ,-35.4113200,149.0975600,house,4,2,2,"$800,000",19 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341410440/23+Hawken+Street%2C+Monash+ACT/
17,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,22 Balsillie Crescent ,-35.4149800,149.0870500,house,4,2,2,"$850,000",8 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341634840/22+Balsillie+Crescent%2C+Monash+ACT/
18,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,147 Clive Steele Avenue ,-35.4168949,149.0863556,house,3,2,2,"$615,000",4 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341608740/147+Clive+Steele+Avenue%2C+Monash+ACT/
19,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,45/67 Barraclough Crescent ,-35.4170900,149.0948500,apartment,3,2,2,"$554,000",1 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341074740/45-67+Barraclough+Crescent%2C+Monash+ACT/
20,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,1/38 Kenyon Circuit ,-35.4174503,149.0933657,townhouse,3,1,2,"$465,000",29 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341789640/1-38+Kenyon+Circuit%2C+Monash+ACT/
21,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,34/174 Clive Steele Avenue ,-35.4202661,149.0838016,townhouse,3,1,1,"$471,000",24 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341480640/34-174+Clive+Steele+Avenue%2C+Monash+ACT/
22,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,6 Upton Street ,-35.4124756,149.1010305,house,5,2,2,"$800,000",21 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341955540/6+Upton+Street%2C+Monash+ACT/
23,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,19 Harkness Street ,-35.4178026,149.0891211,house,3,2,2,"$620,000",16 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341930529/19+Harkness+Street%2C+Monash+ACT/
24,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,4 Burnell Place ,-35.4115340,149.0872304,house,3,2,5,"$670,000",14 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341508529/4+Burnell+Place%2C+Monash+ACT/
25,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,36 Cockcroft Avenue ,-35.4173729,149.0983055,house,4,2,2,"$615,000",3 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341085429/36+Cockcroft+Avenue%2C+Monash+ACT/
26,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,17 Forwood Street ,-35.4126102,149.0896368,house,4,2,4,"$770,000",11 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341348129/17+Forwood+Street%2C+Monash+ACT/
27,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,9 Hawken Street ,-35.4116614,149.0960100,house,4,2,3,"$815,000",28 May 2020,https://www.auhouseprices.com/sold/view/ACT/341965029/9+Hawken+Street%2C+Monash+ACT/
28,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,1 Ahern Place ,-35.4140871,149.0855564,house,4,2,4,"$650,000",20 May 2020,https://www.auhouseprices.com/sold/view/ACT/341135929/1+Ahern+Place%2C+Monash+ACT/
29,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,24 Priddle Street ,-35.4115426,149.0992114,house,4,2,4,"$685,000",14 May 2020,https://www.auhouseprices.com/sold/view/ACT/341457829/24+Priddle+Street%2C+Monash+ACT/
30,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,2 Kayser Place ,-35.4158208,149.0766229,house,4,2,3,"$780,500",13 May 2020,https://www.auhouseprices.com/sold/view/ACT/341735829/2+Kayser+Place%2C+Monash+ACT/
31,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,21 Barraclough Crescent ,-35.4169817,149.0995507,house,4,2,2,"$663,000",12 May 2020,https://www.auhouseprices.com/sold/view/ACT/341905829/21+Barraclough+Crescent%2C+Monash+ACT/
32,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,5/30 William Hudson Crescent ,-35.4205158,149.0776856,townhouse,3,2,2,"$510,000",29 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341439629/5-30+William+Hudson+Crescent%2C+Monash+ACT/
33,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,90 Clive Steele Avenue ,-35.4147971,149.0934924,house,3,2,2,"$549,000",24 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341895629/90+Clive+Steele+Avenue%2C+Monash+ACT/
34,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,10/18 Kenyon Circuit ,-35.4179126,149.0906184,townhouse,4,2,1,"$525,000",17 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341403629/10-18+Kenyon+Circuit%2C+Monash+ACT/
35,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,5 Eaton Place ,-35.4078960,149.0911667,house,4,2,2,"$740,000",16 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341618519/5+Eaton+Place%2C+Monash+ACT/
36,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,16 Beirne Street ,-35.4101530,149.0904542,house,4,3,2,"$735,000",11 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341173119/16+Beirne+Street%2C+Monash+ACT/
37,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,10 Alabaster Street ,-35.4138831,149.0926912,house,4,2,2,"$760,000",3 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341073019/10+Alabaster++Street%2C+Monash+ACT/
38,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,4 Haigh Place ,-35.4152840,149.0908841,house,3,2,2,"$564,000",2 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341679919/4+Haigh+Place%2C+Monash+ACT/
39,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,2/3 Steffanoni Circuit ,-35.4147275,149.0842684,townhouse,3,2,2,"$521,000",2 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341003019/2-3+Steffanoni+Circuit%2C+Monash+ACT/
40,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,26/174 Clive Steele Avenue ,-35.4202661,149.0838016,townhouse,3,2,1,"$500,000",27 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341324919/26-174+Clive+Steele+Avenue%2C+Monash+ACT/
41,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,22/67 Barraclough Crescent ,-35.4170909,149.0948555,townhouse,3,2,2,"$548,500",26 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341022919/22-67+Barraclough+Crescent%2C+Monash+ACT/
42,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,17 Fisk Street ,-35.4074389,149.0998426,house,4,2,2,"$730,000",26 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341945919/17+Fisk+Street%2C+Monash+ACT/
43,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,8 Steffanoni Circuit ,-35.4145456,149.0835420,house,4,2,2,"$750,000",20 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341411819/8+Steffanoni+Circuit%2C+Monash+ACT/
44,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,18 Clive Steele Avenue ,-35.4105362,149.1005837,house,6,3,4,"$865,000",19 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341737819/18+Clive+Steele+Avenue%2C+Monash+ACT/
45,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,27 Cowdery Place ,-35.4145835,149.1016358,house,3,1,2,"$560,000",14 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341517719/27+Cowdery+Place%2C+Monash+ACT/
46,2904,Monash,56,https://www.auhouseprices.com/sold/list/ACT/2904/Monash/,30 Hebblewhite Street ,-35.4139557,149.0863789,house,3,1,5,"$632,000",11 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341460719/30+Hebblewhite+Street%2C+Monash+ACT/
